55,삼양컴텍,"18,210",930,-4.86%,"2,130,333","39,454","18,280","18,290","7,504",35.36,38.14
56,앱코,"1,119",31,-2.70%,"1,746,592","1,958","1,111","1,115",567,11.90,8.21
57,블루엠텍,"5,760",280,+5.11%,"1,729,803","9,954","5,750","5,760","1,930",-20.28,N/A
58,알파녹스,"1,785",35,+2.00%,"1,726,428","3,280","1,781","1,790",305,-3.74,-29.00
59,케이프,"9,370",20,-0.21%,"1,684,937","16,372","9,400","9,440","2,895",14.15,7.47
60,고바이오랩,"6,490",730,+12.67%,"1,681,079","10,587","6,190","6,200","1,260",-15.34,-12.79
61,현대바이오,"5,880",160,+2.80%,"1,670,198","10,125","5,840","5,850","5,647",-26.02,-16.36
62,삼현,"15,270",820,+5.67%,"1,627,342","24,504","15,250","15,260","4,842",52.66,N/A
63,푸른기술,"8,640",150,+1.77%,"1,548,193","13,773","8,800","8,860",722,39.27,5.39
64,샌즈랩,"8,500",720,+9.25%,"1,422,333","12,700","8,480","8,490","1,298",-78.70,-5.21
65,청담글로벌,"7,850",890,-10.18%,"1,402,791","11,456","7,860","7,870","1,653",603.85,2.85
66,대창솔루션,451,4,+0.89%,"1,374,387",617,450,451,831,-6.73,-10.84
67,한선엔지니어링,"7,840",50,-0.63%,"1,284,118","10,665","7,890","7,910","1,354",17.38,7.30
68,우양,"5,030",30,+0.60%,"1,280,478","6,342","5,040","5,050",823,-239.52,-3.06
69,케이쓰리아이,"5,180",380,+7.92%,"1,224,099","6,387","5,140","5,160",388,-7.94,N/A
70,강스템바이오텍,"1,177",16,-1.34%,"1,220,157","1,405","1,177","1,178",660,-4.28,-17.52
71,하이젠알앤엠,"36,150","2,100",+6.17%,"1,198,148","44,154","36,200","36,250","11,166",-200.83,-1.92
72,헝셩그룹,231,1,+0.43%,"1,195,631",275,229,230,434,46.20,0.69
73,디앤디파마텍,"158,000","17,800",+12.70%,"1,164,401","177,334","154,400","154,600","17,097",-45.18,-49.03
74,국일신동,"1,703",16,+0.95%,"1,142,551","2,144","1,877","1,884",189,-6.02,-7.58
75,네오이뮨텍,960,40,-4.00%,"1,086,067","1,046",956,957,949,-3.18,-70.17
76,TS트릴리온,219,8,+3.79%,"1,066,758",232,218,220,235,-4.47,-19.64
77,보성파워텍,"3,820",20,+0.53%,"1,066,523","4,115","3,825","3,830","1,877",11.86,6.80
78,더즌,"5,140",40,+0.78%,"1,064,241","5,478","5,150","5,160","3,686",31.93,28.06
79,하이드로리튬,"2,495",55,-2.16%,"1,038,184","2,598","2,480","2,485","1,352",-3.04,-23.16
80,SGA솔루션즈,702,5,-0.71%,"1,006,985",714,707,708,599,-4.68,-20.26
81,유니테스트,"13,970","1,210",+9.48%,"1,005,855","13,840","13,860","13,870","2,952",-13.27,-19.88
82,제주반도체,"16,560",290,+1.78%,"993,584","16,372","16,670","16,680","5,704",48.14,11.44
83,티엑스알로보틱스,"13,730",700,+5.37%,"964,962","13,801","13,770","13,820","2,121",106.43,14.93
84,율호,"1,180",88,-6.94%,"952,177","1,151","1,179","1,181",849,-5.00,-23.33
85,글로벌텍스프리,"4,785",50,-1.03%,"919,446","4,442","4,755","4,760","3,363",16.97,5.60
86,스튜디오미르,"4,865",125,-2.51%,"915,194","4,517","4,920","4,930","1,592",-64.87,0.29
87,팬스타엔터프라이즈,928,1,-0.11%,"881,671",824,931,933,"1,074",14.06,6.67
88,국일제지,468,1,-0.21%,"880,278",411,466,468,"5,276",-66.86,-9.98
89,캔버스엔,"1,074",69,-6.04%,"876,667",971,"1,080","1,083",253,-3.05,-34.96
90,한국선재,"3,500",50,+1.45%,"871,272","3,054","3,485","3,490",893,700.00,-1.02
91,헬릭스미스,"7,020",460,+7.01%,"866,666","6,024","6,990","7,000","3,236",-40.11,-10.43
92,하이록코리아,"35,450","2,450",+7.42%,"857,171","31,107","35,500","35,550","4,359",10.50,11.38
93,파인엠텍,"11,580",240,-2.03%,"847,416","9,849","11,550","11,560","4,359",-14.77,-11.87
94,원텍,"10,120",330,-3.16%,"841,473","8,536","10,090","10,100","9,105",22.69,25.76
95,엔에프씨,"6,740",660,-8.92%,"794,848","5,622","6,810","6,820",602,28.56,-9.03
96,케이씨티,"4,220",30,-0.71%,"771,658","3,282","4,225","4,240",724,49.07,2.58
97,에스엔시스,"51,500",800,+1.58%,"770,101","40,829","51,400","51,600","4,860",17.28,28.30
98,알체라,"2,820",120,+4.44%,"756,783","2,153","2,815","2,820","1,092",-10.85,-125.69
99,아이에이,184,1,+0.55%,"736,329",135,182,183,691,-2.79,-25.89
100,우듬지팜,"1,672",28,-1.65%,"712,107","1,199","1,669","1,675",762,79.62,7.49
